sample_id,pause_count,pause_avg_duration,speech_rate,pitch_variability,hesitation_count,lexical_diversity,incomplete_sentences,semantic_similarity,cluster,anomaly,anomaly_score,risk_score
antonyflew_10.wav,144,0.22599999999999998,130.66666666666666,0.0,0,0.6292134831460674,0,0.12157230079174042,0,1,0.026987167253548106,0.2
antonyflew_5_1.wav,83,0.2644819277108434,138.08219178082192,0.0,0,0.6713286713286714,0,0.2638362944126129,0,1,0.11289918079313682,0.2
antonyflew_5_2.wav,40,0.4056,92.3076923076923,0.0,0,0.8947368421052632,0,1.0,1,-1,-0.10992234694110714,0.8
BillBuckner_10.wav,67,0.2502686567164179,221.04499680109737,0.0,0,0.5867768595041323,0,0.569433867931366,0,1,0.03701313835287129,0.2
BillBuckner_15.wav,22,0.18909090909090914,160.95009327789495,0.0,0,0.6404494382022472,0,0.23621568083763123,0,1,0.08450552391760857,0.2
BillBuckner_5.wav,29,0.1864827586206897,132.33251128078658,0.0,0,0.7288135593220338,1,0.19175463914871216,0,-1,-0.02074114595664478,0.8
OtisChandler_5.wav,83,0.3207710843373494,248.70110173650755,0.0,0,0.5257142857142857,0,0.18704339861869812,0,1,0.05655631991614962,0.2
patpariseau_10_1.wav,66,0.9990303030303032,216.66666666666666,0.0,0,0.5075757575757576,0,0.1939941942691803,0,-1,-0.0066605128568315575,0.8
patpariseau_10_2.wav,45,0.4145777777777778,240.0,0.0,0,0.6283185840707964,0,0.15733498334884644,0,1,0.08397618278961377,0.2
RobinWilliams_0.wav,79,0.2069873417721519,213.47161705331268,0.0,0,0.5504201680672269,1,0.15494295954704285,0,1,0.0,0.2
RossMacDonald_10.wav,101,0.416950495049505,130.81166377414252,0.0,0,0.6480446927374302,0,0.26042822003364563,0,1,0.09757256582869572,0.2
